entry_id,cluster,finalist
GH-04380895-partC1.jpg,4,1
GH-1128435973-partC1.jpg,4,1
GH-121371443-partC1.jpg,2,1
GH-5059206475-partC1.jpg,6,1
GH-5631681770-partC1.jpg,4,1
GH-76091181-partC1.jpg,0,1
GH-03631231-partC1.jpg,5,0
GH-03673815-partC1.jpg,4,0
GH-04795153-partC1.jpg,3,0
GH-04843084-partC1.jpg,7,0
GH-04981426-partC1.jpg,4,0
GH-05217708-partC1.jpg,1,0
GH-05447031-partC1.jpg,5,0
GH-05495148-partC1.jpg,0,0
GH-06213076-partC1.jpg,2,0
GH-06638569-partC1.jpg,2,0
GH-07086349-partC1.jpg,5,0
GH-08225110-partC1.jpg,7,0
GH-08656917-partC1.jpg,3,0
GH-09221673-partC1.jpg,6,0
GH-09463725-partC1.jpg,2,0
GH-09569592-partC1.jpg,2,0
GH-09822364-partC1.jpg,6,0
GH-09937802-partC1.jpg,7,0
GH-100099807-partC1.jpg,4,0
GH-100524945-partC1.jpg,2,0
GH-1017313340-partC1.jpg,0,0
GH-1017475234-partC1.jpg,3,0
GH-1019831517-partC1.jpg,5,0
GH-1021373091-partC1.jpg,3,0
GH-102180681-partC1.jpg,7,0
GH-102228139-partC1.jpg,0,0
GH-1023515502-partC1.jpg,5,0
GH-103111211-partC1.jpg,3,0
GH-1032983691-partC1.jpg,4,0
GH-103424940-partC1.jpg,2,0
GH-103452271-partC1.jpg,0,0
GH-103667349-partC1.jpg,4,0
GH-103959685-partC1.jpg,0,0
GH-104945429-partC1.jpg,6,0
GH-1052813258-partC1.jpg,6,0
GH-105618179-partC1.jpg,4,0
GH-1056718182-partC1.jpg,6,0
GH-1058192285-partC1.jpg,5,0
GH-1058376438-partC1.jpg,1,0
GH-1061619423-partC1.jpg,1,0
GH-106629075-partC1.jpg,7,0
GH-107317380-partC1.jpg,1,0
GH-107490566-partC1.jpg,0,0
GH-107760788-partC1.jpg,0,0
GH-109394232-partC1.jpg,7,0
GH-109957601-partC1.jpg,7,0
GH-110013583-partC1.jpg,4,0
GH-110432344-partC1.jpg,2,0
GH-111591347-partC1.jpg,3,0
GH-1116722368-partC1.jpg,5,0
GH-111840566-partC1.jpg,7,0
GH-1118585949-partC1.jpg,4,0
GH-1124569637-partC1.jpg,0,0
GH-1130507221-partC1.jpg,0,0
GH-113174453-partC1.jpg,5,0
GH-1132388654-partC1.jpg,2,0
GH-113260703-partC1.jpg,4,0
GH-113422788-partC1.jpg,2,0
GH-1135973516-partC1.jpg,1,0
